conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict, ,1 core runtime, ,dram bw usage, ,accuracy
1,74148,64512,99456,1792, ,0.802816,0.001728, ,1.4777582908163265,597.3333333333334, ,50176,108,1,1, ,112,2126,443552,0.6479420676718851,0.22851886588269243,287396,101360, ,443552.0,287396.0,730948.0, ,221776.0,143698.0,365474.0, ,110888.0,101360.0,212248.0, ,55444.0,101360.0,156804.0, , ,0.6479420676718851,0.6479420676718851,0.9140754635307697,1.8281509270615395, ,0.13866923502082226,0.2773384700416445,0.47755455881798653,0.646412081324456, ,1724513, ,0.058776013865943603, ,0.4238576340102974
2,12100,64,12100,152, ,0.1936,0.001024, ,1.0,1.0, ,320,64,1,38, ,6,4044,24264,1.1246702934388395,0.6322535443455325,27289,15341, ,24264.0,27289.0,39421.0, ,12132.0,15341.0,21407.0, ,6066.0,15341.0,18374.0, ,3033.0,15341.0,16857.5, , ,1.1246702934388395,1.264507088691065,2.52901417738213,5.05802835476426, ,0.3891580629613658,0.7166347456439482,0.8349297920975292,0.910040041524544, ,25222, ,0.6082388391087146, ,1.5629609071445563
3,3025,1536,3040,608, ,0.0484,0.001024, ,1.0,24.0, ,80,64,1,38, ,24,316,12100,1.6267768595041323,1.0555371900826447,19684,12772, ,12100.0,19684.0,23314.0, ,6050.0,12772.0,14587.0, ,3025.0,12772.0,13679.5, ,1512.5,12772.0,13225.75, , ,1.6267768595041323,2.1110743801652894,4.222148760330579,8.444297520661157, ,0.5478253409968259,0.8755741413587441,0.9336598559888885,0.9656919267338336, ,38829, ,0.3289294084318422, ,0.600427515516753
4,2419,16128,3520,448, ,0.0484,0.009216, ,0.7996694214876033,28.0, ,3025,576,1,1, ,28,788,108900,0.3137190082644628,0.14829201101928374,34164,16149, ,108900.0,34164.0,119149.2, ,54450.0,17082.0,59574.6, ,27225.0,16149.0,32069.7, ,13612.5,16149.0,20232.75, , ,0.3137190082644628,0.3137190082644628,0.593168044077135,1.18633608815427, ,0.1355359498846824,0.2710718997693648,0.5035594346064977,0.7981613967453757, ,124934, ,0.12926024941168937, ,0.9536971520963068
5,24200,128,12100,152, ,0.3872,0.002048, ,1.0,1.0, ,640,128,1,38, ,7,5204,36428,1.0830405182826397,0.7550510596244647,39453,27505, ,36428.0,39453.0,57667.0, ,18214.0,27505.0,36612.0, ,9107.0,27505.0,32058.5, ,4553.5,27505.0,29781.75, , ,1.0830405182826397,1.5101021192489295,3.020204238497859,6.040408476995718, ,0.47696256091005257,0.7512564186605485,0.857962786780417,0.923552175409437, ,37723, ,0.7291307690268537, ,1.5286960209951488
6,9348,1792,6560,448, ,0.0484,0.001024, ,3.0902479338842976,28.0, ,3025,32,2,1, ,56,316,12100,1.7034710743801653,0.2833057851239669,20612,3428, ,12100.0,20612.0,24242.0, ,6050.0,10306.0,12121.0, ,3025.0,5153.0,6060.5, ,1512.5,3428.0,3881.75, , ,1.7034710743801653,1.7034710743801653,1.7034710743801653,2.2664462809917354, ,0.14140747463080605,0.2828149492616121,0.5656298985232242,0.8831068461389837, ,75442, ,0.04543888019935845, ,0.3213329445136661
7,8296,16128,6560,448, ,0.0484,0.009216, ,2.7424793388429753,28.0, ,3025,288,2,1, ,56,553,108900,0.31114784205693297,0.06395775941230487,33884,6965, ,108900.0,33884.0,119065.2, ,54450.0,16942.0,59532.6, ,27225.0,8471.0,29766.3, ,13612.5,6965.0,15702.0, , ,0.31114784205693297,0.31114784205693297,0.31114784205693297,0.511662075298439, ,0.05849736110971132,0.11699472221942264,0.23398944443884528,0.4435740669978347, ,206643, ,0.0337054727234893, ,0.5761879182938692
8,5832,768,368,80, ,0.093312,0.004096, ,1.0,3.0, ,640,256,1,10, ,3,2322,11664,0.7222222222222222,0.6538065843621399,8424,7626, ,11664.0,8424.0,14191.2, ,5832.0,7626.0,9375.6, ,2916.0,7626.0,8500.8, ,1458.0,7626.0,8063.4, , ,0.7222222222222222,1.3076131687242798,2.6152263374485596,5.230452674897119, ,0.5373752748181971,0.813387943171637,0.8970920383963863,0.9457548924771189, ,18010, ,0.42343142698500835, ,0.7879622431982233
9,2916,2560,1472,320, ,0.023328,0.004096, ,2.0,10.0, ,160,256,1,10, ,20,347,11664,1.0949931412894376,0.5493827160493827,12772,6408, ,11664.0,12772.0,16271.2, ,5832.0,6408.0,8157.6, ,2916.0,6408.0,7282.8, ,1458.0,6408.0,6845.4, , ,1.0949931412894376,1.0987654320987654,2.197530864197531,4.395061728395062, ,0.3938246718127735,0.7855251544571933,0.8798813643104301,0.9361030765185381, ,25610, ,0.2502147598594299, ,0.6353455681374464
10,2320,16128,1728,224, ,0.023328,0.036864, ,1.5912208504801097,7.0, ,1458,1152,2,1, ,14,1441,104976,0.2477328151196464,0.09352613930803232,26006,9818, ,104976.0,26006.0,112777.8, ,52488.0,13003.0,56388.9, ,26244.0,9818.0,29189.4, ,13122.0,9818.0,16067.4, , ,0.2477328151196464,0.2477328151196464,0.37410455723212926,0.7482091144642585, ,0.08705614048154867,0.17411228096309733,0.33635497817700943,0.611050947882047, ,109903, ,0.08933332120142308, ,1.0261576117121463
11,11664,2048,368,80, ,0.186624,0.008192, ,1.0,4.0, ,1280,512,1,10, ,4,3520,23328,0.6660665294924554,0.5878772290809328,15538,13714, ,23328.0,15538.0,27989.4, ,11664.0,13714.0,17213.2, ,5832.0,13714.0,15463.6, ,2916.0,13714.0,14588.8, , ,0.6660665294924554,1.1757544581618655,2.351508916323731,4.703017832647462, ,0.48997120338413824,0.7967141496061162,0.8868568767945368,0.9400361921474008, ,31841, ,0.4307025533117678, ,0.8790364624226626
12,5616,3328,3328,416, ,0.023328,0.004096, ,3.8518518518518516,13.0, ,1458,128,2,1, ,26,472,11664,1.1680384087791496,0.17352537722908093,13624,2024, ,11664.0,13624.0,17123.2, ,5832.0,6812.0,8561.6, ,2916.0,3406.0,4280.8, ,1458.0,2024.0,2461.4, , ,1.1680384087791496,1.1680384087791496,1.1680384087791496,1.3882030178326474, ,0.1182022051952906,0.2364044103905812,0.4728088207811624,0.8222962541642967, ,41530, ,0.048735853599807366, ,0.4123091740910186
13,4524,29952,3328,416, ,0.023328,0.036864, ,3.102880658436214,13.0, ,1458,1152,2,1, ,26,1454,104976,0.3729995427526292,0.05267870751409846,39156,5530, ,104976.0,39156.0,116722.8, ,52488.0,19578.0,58361.4, ,26244.0,9789.0,29180.7, ,13122.0,5530.0,14781.0, , ,0.3729995427526292,0.3729995427526292,0.3729995427526292,0.4214296601127877, ,0.047377204796320856,0.09475440959264171,0.18950881918528342,0.3741289493268385, ,211480, ,0.02614904482693399, ,0.5519330433137886
14,2704,1536,132,36, ,0.043264,0.012288, ,1.0,2.0, ,1280,768,1,3, ,2,2186,8112,0.6014546351084813,0.4949457593688363,4879,4015, ,8112.0,4879.0,9575.7, ,4056.0,4015.0,5260.5, ,2028.0,4015.0,4623.4, ,1014.0,4015.0,4319.2, , ,0.6014546351084813,0.9898915187376726,1.9797830374753451,3.9595660749506902, ,0.4192904957339933,0.7632354338941165,0.868408530518666,0.9295702907945916, ,14438, ,0.2780856074248511, ,0.6632289790829755
15,1014,1728,528,144, ,0.008112,0.009216, ,2.0,3.0, ,240,576,1,3, ,6,545,6084,0.8708086785009862,0.4516765285996055,5298,2748, ,6084.0,5298.0,7673.4, ,3042.0,2748.0,3866.4, ,1521.0,2748.0,3204.3, ,760.5,2748.0,2976.15, , ,0.8708086785009862,0.903353057199211,1.806706114398422,3.613412228796844, ,0.3581202595980921,0.7107386716325264,0.8575976032206721,0.923340557431581, ,11527, ,0.23839680749544548, ,0.6656892513229808
16,1485,10368,624,96, ,0.008112,0.082944, ,2.9289940828402368,2.0, ,507,1728,3,1, ,3,4159,54756,0.264902476440938,0.14272408503177733,14505,7815, ,54756.0,14505.0,59107.5, ,27378.0,7815.0,29722.5, ,13689.0,7815.0,16033.5, ,6844.5,7815.0,9868.35, , ,0.264902476440938,0.28544817006355466,0.5708963401271093,1.1417926802542187, ,0.13221672376601953,0.26293212212969974,0.4874169707175601,0.7919257018650534, ,70393, ,0.11101956160413677, ,0.83967866123052
17,4056,2304,132,36, ,0.064896,0.018432, ,1.0,2.0, ,1920,1152,1,3, ,2,3246,12168,0.5751972386587771,0.47263313609467456,6999,5751, ,12168.0,6999.0,14267.7, ,6084.0,5751.0,7809.3, ,3042.0,5751.0,6663.6, ,1521.0,5751.0,6207.3, , ,0.5751972386587771,0.9452662721893491,1.8905325443786982,3.7810650887573964, ,0.4030782817132404,0.7364296415811916,0.8630470016207455,0.9264897781644192, ,19212, ,0.29934415990006247, ,0.7426452217364148
18,1014,1728,528,144, ,0.008112,0.009216, ,2.0,3.0, ,240,576,1,3, ,6,545,6084,0.8708086785009862,0.4516765285996055,5298,2748, ,6084.0,5298.0,7673.4, ,3042.0,2748.0,3866.4, ,1521.0,2748.0,3204.3, ,760.5,2748.0,2976.15, , ,0.8708086785009862,0.903353057199211,1.806706114398422,3.613412228796844, ,0.3581202595980921,0.7107386716325264,0.8575976032206721,0.923340557431581, ,11540, ,0.23812824956672443, ,0.6649393414211439
19,1485,10368,624,96, ,0.008112,0.082944, ,2.9289940828402368,2.0, ,507,1728,3,1, ,3,4159,54756,0.264902476440938,0.14272408503177733,14505,7815, ,54756.0,14505.0,59107.5, ,27378.0,7815.0,29722.5, ,13689.0,7815.0,16033.5, ,6844.5,7815.0,9868.35, , ,0.264902476440938,0.28544817006355466,0.5708963401271093,1.1417926802542187, ,0.13221672376601953,0.26293212212969974,0.4874169707175601,0.7919257018650534, ,70430, ,0.11096123810876048, ,0.839237540820673
20,4056,3072,176,48, ,0.064896,0.024576, ,1.0,2.0, ,1920,1536,1,3, ,2,3652,16224,0.4918639053254438,0.38929980276134124,7980,6316, ,16224.0,7980.0,18618.0, ,8112.0,6316.0,10006.8, ,4056.0,6316.0,7532.8, ,2028.0,6316.0,6924.4, , ,0.4918639053254438,0.7785996055226825,1.557199211045365,3.11439842209073, ,0.3392415941561929,0.6311708038533798,0.8384664401019541,0.9121367916353764, ,24285, ,0.2600782375952234, ,0.7666460778258184
21,2028,3072,704,192, ,0.010816,0.016384, ,3.0,3.0, ,320,1024,1,3, ,9,644,10816,0.7858727810650887,0.3624260355029586,8500,3920, ,10816.0,8500.0,13366.0, ,5408.0,4250.0,6683.0, ,2704.0,3920.0,4731.2, ,1352.0,3920.0,4325.6, , ,0.7858727810650887,0.7858727810650887,1.4497041420118344,2.899408284023669, ,0.2932814604219662,0.5865629208439324,0.8285424416638485,0.9062326613648973, ,16994, ,0.23066964811109802, ,0.7865128869012593
22,2640,18432,832,128, ,0.010816,0.147456, ,3.905325443786982,2.0, ,676,2304,4,1, ,4,5476,97344,0.25279421433267585,0.13071170282708744,24608,12724, ,97344.0,24608.0,104726.4, ,48672.0,12724.0,52489.2, ,24336.0,12724.0,28153.2, ,12168.0,12724.0,16374.4, , ,0.25279421433267585,0.2614234056541749,0.5228468113083498,1.0456936226166995, ,0.12149754025727993,0.24241177232649766,0.4519557279456687,0.7770666406097323, ,91119, ,0.1396415676203646, ,1.1493365818325485
23,5408,4096,176,48, ,0.086528,0.032768, ,1.0,2.0, ,2560,2048,1,3, ,4,2420,21632,0.4787352071005917,0.3781434911242604,10356,8180, ,21632.0,10356.0,24738.8, ,10816.0,8180.0,13270.0, ,5408.0,8180.0,9802.4, ,2704.0,8180.0,8991.2, , ,0.4787352071005917,0.7562869822485208,1.5125739644970415,3.025147928994083, ,0.33065468009766036,0.6164280331574982,0.8344895127723823,0.9097784500400391, ,30761, ,0.2659211339033191, ,0.804226130489906
24,2028,3072,704,192, ,0.010816,0.016384, ,3.0,3.0, ,320,1024,1,3, ,9,644,10816,0.7858727810650887,0.3624260355029586,8500,3920, ,10816.0,8500.0,13366.0, ,5408.0,4250.0,6683.0, ,2704.0,3920.0,4731.2, ,1352.0,3920.0,4325.6, , ,0.7858727810650887,0.7858727810650887,1.4497041420118344,2.899408284023669, ,0.2932814604219662,0.5865629208439324,0.8285424416638485,0.9062326613648973, ,16937, ,0.23144594674381533, ,0.7891598275963866
25,2640,18432,832,128, ,0.010816,0.147456, ,3.905325443786982,2.0, ,676,2304,4,1, ,4,5476,97344,0.25279421433267585,0.13071170282708744,24608,12724, ,97344.0,24608.0,104726.4, ,48672.0,12724.0,52489.2, ,24336.0,12724.0,28153.2, ,12168.0,12724.0,16374.4, , ,0.25279421433267585,0.2614234056541749,0.5228468113083498,1.0456936226166995, ,0.12149754025727993,0.24241177232649766,0.4519557279456687,0.7770666406097323, ,91110, ,0.13965536165075185, ,1.1494501152453078
26,70304,96768,2750,756, ,0.086528,0.516096, ,13.0,3.0, ,2560,32256,1,3, ,78,2177,338000,0.5338846153846154,0.14516863905325444,180453,49067, ,338000.0,180453.0,392135.9, ,169000.0,90226.5,196067.95, ,84500.0,49067.0,99220.1, ,42250.0,49067.0,61742.0, , ,0.5338846153846154,0.5338846153846154,0.5806745562130178,1.1613491124260356, ,0.1251275386925808,0.2502550773851616,0.4945268146272781,0.794710245861812, ,419466, ,0.1169749157261852, ,0.9348454940328895
 
resadd number,stream (total) A load,stream (total) B load,stream (total) C store, ,1 core prediction,2 core prediction,4 core prediction,8 core prediction,from dram, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict, ,1 core runtime, ,dram bw usage, ,accuracy
 
total cycle prediction,2247964.6999999993,1145303.25,670241.2999999998,474566.0000000001
real thread cycle
real total cycle,3959413
